id	lon	lat	label
2766	-117.726098	34.125368	Claremont_01
2770	-115.512698	32.974401	Del Rio
2772	-115.575734	32.840799	pa_II
2776	-115.541168	32.981308	109 D Street Brawley CA 92227
2782	-115.548741	32.98207	SCIV_16
2804	-117.938383	35.115218	KCACALIF4
2829	-118.287684	34.012686	LA Coliseum
2835	-117.684418	33.494914	San Juan Capistrano CA - Peppertree Bend
2856	-122.580623	37.99	Hawthorne Hills West
2858	-122.062094	37.324482	Varian Park
2860	-116.410584	34.223143	Southwest Landers, CA
2883	-122.06967	37.59633	Union City
2888	-122.058282	37.302643	Cupertino, CA
2892	-122.273712	38.280572	Imola - 1
2906	-122.239798	38.073599	Sandy Beach
2910	-122.408032	37.778469	tactrix rooftop
2912	-117.01037	32.993016	High valley
2916	-122.065558	37.362176	Waverly Park
2920	-117.895587	33.605701	Balboa
2946	-118.472067	33.992512	Venice
2988	-121.27081	38.880648	Snappy
2992	-119.654368	36.791075	The Heights at Loma Vista PA-II
3009	-117.141427	33.569577	St. Andrews Ct.
3015	-122.083298	37.37447	Leona
3056	-118.150349	34.11612	in_rn
3075	-118.153342	34.51352	Sierra Pelona Ridge AQ Station
3082	-122.301588	37.906472	El Cerrito - Rust - Ohlone Greenway
3127	-121.049	37.697	NW Modesto
3134	-117.3063	34.05587	Colton
3142	-117.116145	34.535114	Apple Valley
3167	-124.128199	40.566636	Fortuna, CA
3182	-123.53828	41.30248	Orleans, CA
3184	-122.288992	38.305099	Imola6
3211	-120.769465	38.388863	Sutter Creek, Ridge Rd
3227	-122.232117	37.471941	Hawes Right Field
3236	-117.590113	33.592598	Coto de Caza
3245	-121.134759	38.850268	Newcastle
3247	-122.257593	38.282292	Imola - 2
3271	-122.342151	38.301803	Imola-9
3277	-120.744499	37.11794	Shop
3296	-122.295859	37.98261	El Sobrante Manor
3307	-120.577622	35.132549	Arroyo Grande Village Glen
3316	-118.512415	34.299283	The Tcimpidis NW Granada Hills Weather Station
3318	-122.600633	38.247942	Village East Drive
3327	-122.157563	37.418683	Stanford South
3329	-120.744526	37.118808	Front Office
3332	-122.166361	37.452403	BootupVentures
3334	-120.744611	37.118016	Outside_Shop
3336	-121.917921	37.304996	Willow Glen West
3348	-122.444588	37.787293	Lower Pacific Heights 
3374	-121.078812	39.252087	Starlite Acres
3390	-119.623204	37.319976	Oakhurst 1
3451	-122.690588	38.014325	Morelos
3465	-119.757442	36.706787	Friends of Calwa
3477	-118.054892	34.003378	Sycamore Canyon
3479	-118.155307	34.046755	1381 Rock Haven St
3483	-118.143297	34.065706	APIFM
3487	-118.11611	34.054372	SCAP_19
3505	-118.115766	34.07032	SCAP_04
3513	-118.123801	34.049091	SCAP_18
3515	-118.148634	34.066673	SCAP_07
3525	-118.115696	34.070679	SCAP_05
3527	-118.134086	34.09842	SCAP_14
3529	-118.114707	34.070549	SCAP_03
3531	-118.130428	34.093744	SCAP_16
3535	-118.148325	34.13773	KPCC
3537	-117.41601	33.999381	RIVR_Co-loc9
3547	-118.148186	34.059753	1333 Sombrero Drive
3549	-117.336001	34.001113	AQMD_TEST_Outdoors
3551	-118.122714	34.052525	SCAP_17
